# refseq	assembly	genbank	ncbi	ucsc
NC_086019.1	chr1	CM070391.1	1	chr1
NC_086020.1	chr2	CM070392.1	2	chr2
NC_086021.1	chr3	CM070393.1	3	chr3
NC_086022.1	chr4	CM070394.1	4	chr4
NC_086023.1	chr5	CM070395.1	5	chr5
NC_086024.1	chr6	CM070396.1	6	chr6
NC_086025.1	chr7	CM070397.1	7	chr7
NC_086026.1	chr8	CM070398.1	8	chr8
NC_086027.1	chr9	CM070399.1	9	chr9
NC_086028.1	chr10	CM070400.1	10	chr10
NC_086029.1	chr11	CM070401.1	11	chr11
NC_086030.1	chr12	CM070402.1	12	chr12
NC_086031.1	chr13	CM070403.1	13	chr13
NC_086032.1	chr14	CM070404.1	14	chr14
NC_086033.1	chr15	CM070405.1	15	chr15
NC_086034.1	chr16	CM070406.1	16	chr16
NC_086035.1	chr17	CM070407.1	17	chr17
NC_086036.1	chr18	CM070408.1	18	chr18
NC_086037.1	chr19	CM070409.1	19	chr19
NC_086038.1	chr20	CM070410.1	20	chr20
NC_086039.1	chrX	CM070411.1	X	chrX
NC_086040.1	chrY	CM070412.1	Y	chrY
NW_026947362.1	chr3_unlocalized_1	JAXUCZ010000023.1		chr3_NW_026947362v1_random
NW_026947363.1	chr3_unlocalized_2	JAXUCZ010000024.1		chr3_NW_026947363v1_random
NW_026947364.1	chr3_unlocalized_3	JAXUCZ010000025.1		chr3_NW_026947364v1_random
NW_026947365.1	chr3_unlocalized_4	JAXUCZ010000026.1		chr3_NW_026947365v1_random
NW_026947366.1	chr3_unlocalized_5	JAXUCZ010000027.1		chr3_NW_026947366v1_random
NW_026947367.1	chrY_unlocalized_1	JAXUCZ010000028.1		chrY_NW_026947367v1_random
NW_026947368.1	chrY_unlocalized_10	JAXUCZ010000037.1		chrY_NW_026947368v1_random
NW_026947369.1	chrY_unlocalized_11	JAXUCZ010000038.1		chrY_NW_026947369v1_random
NW_026947370.1	chrY_unlocalized_12	JAXUCZ010000039.1		chrY_NW_026947370v1_random
NW_026947371.1	chrY_unlocalized_13	JAXUCZ010000040.1		chrY_NW_026947371v1_random
NW_026947372.1	chrY_unlocalized_14	JAXUCZ010000041.1		chrY_NW_026947372v1_random
NW_026947373.1	chrY_unlocalized_15	JAXUCZ010000042.1		chrY_NW_026947373v1_random
NW_026947374.1	chrY_unlocalized_16	JAXUCZ010000043.1		chrY_NW_026947374v1_random
NW_026947375.1	chrY_unlocalized_17	JAXUCZ010000044.1		chrY_NW_026947375v1_random
NW_026947376.1	chrY_unlocalized_18	JAXUCZ010000045.1		chrY_NW_026947376v1_random
NW_026947377.1	chrY_unlocalized_19	JAXUCZ010000046.1		chrY_NW_026947377v1_random
NW_026947378.1	chrY_unlocalized_2	JAXUCZ010000029.1		chrY_NW_026947378v1_random
NW_026947379.1	chrY_unlocalized_20	JAXUCZ010000047.1		chrY_NW_026947379v1_random
NW_026947380.1	chrY_unlocalized_21	JAXUCZ010000048.1		chrY_NW_026947380v1_random
NW_026947381.1	chrY_unlocalized_22	JAXUCZ010000049.1		chrY_NW_026947381v1_random
NW_026947382.1	chrY_unlocalized_23	JAXUCZ010000050.1		chrY_NW_026947382v1_random
NW_026947383.1	chrY_unlocalized_24	JAXUCZ010000051.1		chrY_NW_026947383v1_random
NW_026947384.1	chrY_unlocalized_25	JAXUCZ010000052.1		chrY_NW_026947384v1_random
NW_026947385.1	chrY_unlocalized_26	JAXUCZ010000053.1		chrY_NW_026947385v1_random
NW_026947386.1	chrY_unlocalized_27	JAXUCZ010000054.1		chrY_NW_026947386v1_random
NW_026947387.1	chrY_unlocalized_28	JAXUCZ010000055.1		chrY_NW_026947387v1_random
NW_026947388.1	chrY_unlocalized_29	JAXUCZ010000056.1		chrY_NW_026947388v1_random
NW_026947389.1	chrY_unlocalized_3	JAXUCZ010000030.1		chrY_NW_026947389v1_random
NW_026947390.1	chrY_unlocalized_30	JAXUCZ010000057.1		chrY_NW_026947390v1_random
NW_026947391.1	chrY_unlocalized_31	JAXUCZ010000058.1		chrY_NW_026947391v1_random
NW_026947392.1	chrY_unlocalized_32	JAXUCZ010000059.1		chrY_NW_026947392v1_random
NW_026947393.1	chrY_unlocalized_33	JAXUCZ010000060.1		chrY_NW_026947393v1_random
NW_026947394.1	chrY_unlocalized_34	JAXUCZ010000061.1		chrY_NW_026947394v1_random
NW_026947395.1	chrY_unlocalized_35	JAXUCZ010000062.1		chrY_NW_026947395v1_random
NW_026947396.1	chrY_unlocalized_36	JAXUCZ010000063.1		chrY_NW_026947396v1_random
NW_026947397.1	chrY_unlocalized_37	JAXUCZ010000064.1		chrY_NW_026947397v1_random
NW_026947398.1	chrY_unlocalized_38	JAXUCZ010000065.1		chrY_NW_026947398v1_random
NW_026947399.1	chrY_unlocalized_39	JAXUCZ010000066.1		chrY_NW_026947399v1_random
NW_026947400.1	chrY_unlocalized_4	JAXUCZ010000031.1		chrY_NW_026947400v1_random
NW_026947401.1	chrY_unlocalized_40	JAXUCZ010000067.1		chrY_NW_026947401v1_random
NW_026947402.1	chrY_unlocalized_41	JAXUCZ010000068.1		chrY_NW_026947402v1_random
NW_026947403.1	chrY_unlocalized_42	JAXUCZ010000069.1		chrY_NW_026947403v1_random
NW_026947404.1	chrY_unlocalized_43	JAXUCZ010000070.1		chrY_NW_026947404v1_random
NW_026947405.1	chrY_unlocalized_44	JAXUCZ010000071.1		chrY_NW_026947405v1_random
NW_026947406.1	chrY_unlocalized_45	JAXUCZ010000072.1		chrY_NW_026947406v1_random
NW_026947407.1	chrY_unlocalized_46	JAXUCZ010000073.1		chrY_NW_026947407v1_random
NW_026947408.1	chrY_unlocalized_5	JAXUCZ010000032.1		chrY_NW_026947408v1_random
NW_026947409.1	chrY_unlocalized_6	JAXUCZ010000033.1		chrY_NW_026947409v1_random
NW_026947410.1	chrY_unlocalized_7	JAXUCZ010000034.1		chrY_NW_026947410v1_random
NW_026947411.1	chrY_unlocalized_8	JAXUCZ010000035.1		chrY_NW_026947411v1_random
NW_026947412.1	chrY_unlocalized_9	JAXUCZ010000036.1		chrY_NW_026947412v1_random
NW_026947413.1	scaffold_1	JAXUCZ010000074.1		chrUn_NW_026947413v1
NW_026947414.1	scaffold_2	JAXUCZ010000075.1		chrUn_NW_026947414v1
NW_026947415.1	scaffold_3	JAXUCZ010000076.1		chrUn_NW_026947415v1
